city,xco2_ppm,sif_757nm,country,TargetRegion,population,gdp_bil_usd,annual_co2_em_mtco2,number_of_sams,quadrant
Freetown,,0.2284492,,,,,,,LOW_both
Fresno,414.65182,0.13290323,,,,,,,LOW_both
Fuzhou,418.2727,0.2928397,,,,,,,LOW_emissions_HIGH_conc
Gillette,418.1265,0.13597077,,,,,,,LOW_emissions_HIGH_conc
Guadalajara,416.2684,0.17405039,Mexico,Latin America,5047012,132.1,14.216,13,LOW_both
Guangzhou,418.8077,0.18834285,,,,,,,LOW_emissions_HIGH_conc
Guiyang,417.47284,0.1954445,,,,,,,LOW_emissions_HIGH_conc
Hamilton,414.1086,0.3566597,,,,,,,LOW_both
Hangzhou,418.10373,0.22343704,China,Central East Asia,10466656,422.9,67.572,1,HIGH_both
Hanoi,418.80484,0.25645185,Vietnam,East. Southeast Asia & Oceania,6937417,179.9,15.263,1,LOW_emissions_HIGH_conc
Harbin,415.39926,0.23071562,,,,,,,LOW_both
Ho Chi Minh City,417.3067,0.2530011,,,,,,,LOW_emissions_HIGH_conc
Hong Kong,416.20734,0.22598858,,,,,,,LOW_both
Houston,415.64316,0.2593657,USA,North America,5664644,480.1,37.065,1,LOW_both
Huainan,418.77832,0.17082797,,,,,,,LOW_emissions_HIGH_conc
Hyderabad,418.2599,0.19398105,,,,,,,LOW_emissions_HIGH_conc
Indianapolis,416.9663,0.33247307,,,,,,,LOW_both
Ironwood,415.03818,0.26502645,,,,,,,LOW_both
Irvine,416.91208,0.11737161,,,,,,,LOW_both
Isfahan,417.70477,0.05002692,,,,,,,LOW_emissions_HIGH_conc
Istanbul,416.1489,0.19566287,Turkey,Europe,15618958,989.5,28.253,2,LOW_both
Jaipur,417.95914,0.12865275,,,,,,,LOW_emissions_HIGH_conc
Jakarta,416.71936,0.21549858,,,,,,,LOW_both
Jeddah,416.3212,0.03393775,,,,,,,LOW_both
Jefferson City,412.32812,0.4117644,,,,,,,LOW_both
Jiayuguan,,0.050773934,,,,,,,LOW_both
Jinan,417.13245,0.26540777,,,,,,,LOW_both
Jodhpur,417.39746,0.07658564,,,,,,,LOW_emissions_HIGH_conc
Johannesburg,414.09943,0.17485355,South Africa,Africa,8238975,187.7,50.68,2,HIGH_emissions_LOW_conc
John Day,415.60226,0.060018662,,,,,,,LOW_both
Johnstown,415.03586,0.47556046,,,,,,,LOW_both
Joliet,417.3731,0.29546475,,,,,,,LOW_emissions_HIGH_conc
Kaiapoi,412.95847,0.31581038,,,,,,,LOW_both
