city,xco2_ppm,xco2_numsams,xco2_std,lat_mean,lon_mean,lat_median,lon_median,target_name,sif_757nm,sif_numsams,sif_std,wkt_center,wkt_boundary,country,region,population,gdp_bil_usd,annual_co2_em_mtco2,numsams_ahn2025,low_sample_count,quadrant,coastal_km,is_coastal
Amman,415.20715,21089.0,3.398824,31.94718,35.979057,31.951164,35.986187,fossil_Amman_Jordan,0.062067986,42231,0.15521786,POINT(35.94042000000007 31.95180000000005),"POLYGON((35.51897075713185 31.59036377177461,35.51566401687791 32.31180597217597,36.36517598312224 32.31180597217597,36.36186924286829 31.59036377177461,35.51897075713185 31.59036377177461))",Jordan,South and West Asia,3628653.0,49.0,15.658,11.0,False,LOW_both,132.45907852050888,False
Amsterdam,417.323,3.0,0.43855003,52.228653,5.208654,52.23941,5.2119656,fossil_Amsterdam_Netherlands,0.4888878,465,0.24096693,POINT(4.907880000000034 52.36993000000007),"POLYGON((4.325328839494603 52.00900682704061,4.315794057619257 52.72791285570358,5.499965942380811 52.72791285570358,5.490431160505466 52.00900682704061,4.325328839494603 52.00900682704061))",,,,,,,True,LOW_both,66.44957189326622,False
Ankara,415.7333,23068.0,2.6215944,39.915066,32.812756,39.915028,32.80197,fossil_Ankara_Turkey,0.11182499,51990,0.18621105,POINT(32.85391000000004 39.92109000000005),"POLYGON((32.38846447514521 39.55989389517051,32.38356068194969 40.28037567688244,33.32425931805037 40.28037567688244,33.31935552485484 39.55989389517051,32.38846447514521 39.55989389517051))",,,,,,,True,LOW_both,249.6911379071643,False
Ansan,421.01428,1748.0,2.027543,37.012173,126.620125,36.95681,126.6229,fossil_Dangjin_Yonghungdo_Taean_powerplants,0.15768242,7827,0.19156787,POINT(126.511 37.057),"POLYGON((126.1749035431368 36.78619690359454,126.1725105450304 37.32683177618858,126.8494894549697 37.32683177618858,126.8470964568633 36.78619690359454,126.1749035431368 36.78619690359454))",,,,,,,True,LOW_emissions_HIGH_conc,20.58311024598476,True
Aosta,410.6583,15.0,3.8623538,45.78383,7.4697523,45.74363,7.4734573,ecostress_it_tor,0.09694481,5410,0.24282919,POINT(7.5781 45.8444),"POLYGON((7.321460976111894 45.66416909143581,7.319800854185019 46.0240450889006,7.836399145814994 46.0240450889006,7.834739023888119 45.66416909143581,7.321460976111894 45.66416909143581))",,,,,,,True,LOW_both,271.0656466214225,False
Ashburton,411.80872,3306.0,1.928207,-43.555546,171.95702,-43.5356,171.97855,ecostress_nz_bfm,0.3304124,9064,0.28885803,POINT(171.928 -43.593),"POLYGON((171.6795885558382 -43.77273823989805,171.6810649782595 -43.41271951829628,172.1749350217405 -43.41271951829628,172.1764114441618 -43.77273823989805,171.6795885558382 -43.77273823989805))",,,,,,,True,LOW_both,57.9547115117244,False
Ashgabat,415.74927,26804.0,3.4153492,37.989914,58.38815,38.001472,58.404068,fossil_Ashgabat_Turkmenistan,0.06464481,73623,0.1460688,POINT(58.38333000000006 37.95000000000005),"POLYGON((57.93043321826156 37.58874519882993,57.92598703568382 38.30947222878655,58.8406729643163 38.30947222878655,58.83622678173856 37.58874519882994,57.93043321826156 37.58874519882993))",,,,,,,True,LOW_both,507.7445983011107,False
Astana,416.51938,34202.0,4.2197633,51.138577,71.428604,51.13973,71.427925,fossil_Astana_Kazakhstan,0.09349251,93913,0.17992526,POINT(71.42830000000004 51.12771000000004),"POLYGON((70.8613127695489 50.76677254914924,70.85243999830209 51.48583340754745,72.00416000169795 51.48583340754745,71.99528723045117 50.76677254914924,70.8613127695489 50.76677254914924))",,,,,,,True,LOW_both,2171.5520359994057,False
Athens,415.94562,9731.0,2.8930612,38.0803,23.715176,38.08807,23.749538,fossil_Athens_Greece,0.11630297,19324,0.14514899,POINT(23.73640000000006 37.97614000000004),"POLYGON((23.28334471993969 37.61488598651998,23.27889278162718 38.33560978975403,24.19390721837294 38.33560978975403,24.18945528006043 37.61488598651998,23.28334471993969 37.61488598651998))",Greece,Europe,3344006.0,168.7,22.004,2.0,False,LOW_both,31.00881433603707,True
Atlanta,416.93216,25408.0,3.2978075,33.71805,-84.40419,33.713966,-84.40437,fossil_Atlanta_USA,0.24246025,51849,0.19381756,POINT(-84.39110999999997 33.74831000000006),"POLYGON((-84.82101917107379 33.38692763129029,-84.82463326485566 34.10816167019384,-83.95758673514426 34.10816167019384,-83.96120082892614 33.38692763129029,-84.82101917107379 33.38692763129029))",,,,,,,True,LOW_both,452.5275807401604,False
Auckland,412.50464,3440.0,2.686955,-37.0313,174.88321,-37.074894,174.91632,Auckland_NewZealand,0.24598026,16595,0.22163445,POINT(174.769989 -36.837498),"POLYGON((175.216858 -36.477333,174.32312 -36.477333,174.318909 -37.195972,175.221085 -37.195972,175.216858 -36.477333))",,,,,,,True,LOW_both,30.183376532251046,True
Aurora,416.5079,12066.0,2.897951,39.929832,-104.13854,39.92903,-104.161255,val012_CAO_Colorado,0.081570625,17389,0.15752526,POINT(-103.972275 39.922722),"POLYGON((-103.501266 40.281097,-104.443283 40.281097,-104.43837 39.562458,-103.50618 39.562458,-103.501266 40.281097))",,,,,,,True,LOW_both,1575.7043622410945,False
Austin,420.35394,2863.0,3.5237846,30.268164,-97.656876,30.251392,-97.61819,fossil_Austin_USA,0.23128223,5154,0.19983114,POINT(-97.74298999999996 30.26759000000004),"POLYGON((-98.1571682609012 29.9061044739201,-98.1602084892811 30.62773608159921,-97.32577151071882 30.62773608159921,-97.32881173909873 29.9061044739201,-98.1571682609012 29.9061044739201))",,,,,,,True,LOW_emissions_HIGH_conc,280.993690983087,False
Az Zahran,415.77,1257.0,2.0068007,25.91182,49.945942,25.941639,49.92494,fossil_AlQurayyah_powerplant,0.019913673,6037,0.18453166,POINT(50.126 25.844),"POLYGON((49.82742384848487 25.57289708678455,49.82606116338107 26.11447625941348,50.42593883661894 26.11447625941348,50.42457615151514 25.57289708678455,49.82742384848487 25.57289708678455))",,,,,,,True,LOW_both,2.640210136912825,True
