Target ID,Target Name,Priority Number,High Priority Start Date,High Priority End Date,Site Center WKT,Site Shape WKT,Number of Desired Observations,Mode,Swath Scale,Scan Direction,Glint Check,Rotate Target,Ascending Centroid WKT,Ascending Polygon WKT,Ascending Along,Ascending Across,Descending Centroid WKT,Descending Polygon WKT,Descending Along,Descending Across,lon,lat,city,country,population,Edit notes,Unnamed: 27,countrycode,gdp_per_capita_country_2024,gdp_bil_usd,coastal_km,is_coastal
fossil0107,fossil_Bangalore_India,168,,,POINT(77.58742000000007 12.96685000000002),"POLYGON((77.21927795250326 12.60502661999094,77.21821337867664 13.32814130789641,77.9566266213235 13.32814130789641,77.95556204749687 12.60502661999094,77.21927795250326 12.60502661999094))",2,Area Mapping Mode,1.0,0,1,1,POINT(77.590158 12.970463),"POLYGON((77.529228 12.511861,77.158676 12.778335,77.651306 13.42905,78.022308 13.16188,77.529228 12.511861))",90.0,50.0,POINT(77.590158 12.963237),"POLYGON((77.158035 13.154678,77.529037 13.421828,78.021614 12.771084,77.651054 12.504632,77.158035 13.154678))",90.0,50.0,77.58742,12.96685,Bengaluru,India,6787000,,,IND,2694.737809,18.28918551,273.7176452328962,False
fossil0108,fossil_Orlando_USA,169,,,POINT(-81.37738999999993 28.53823000000006),"POLYGON((-81.784718779048 28.17669557748333,-81.78750450082721 28.89851519407821,-80.96727549917266 28.89851519407821,-80.97006122095186 28.17669557748333,-81.784718779048 28.17669557748333))",4,Area Mapping Mode,1.0,0,1,1,POINT(-81.373949 28.541552),"POLYGON((-81.494026 28.09136,-81.872025 28.392776,-81.252838 28.991638,-80.874474 28.688505,-81.494026 28.09136))",90.0,50.0,POINT(-81.373949 28.534908),"POLYGON((-81.873367 28.681923,-81.494972 28.985008,-80.875931 28.38607,-81.253952 28.084702,-81.873367 28.681923))",90.0,50.0,-81.37739,28.53823,Orlando,United States of America,1350000,,,USA,84534.04078,114.1209551,78.07751369968528,False
fossil0109,fossil_Baghdad_Iraq,170,,,POINT(44.39309000000003 33.34213000000005),"POLYGON((43.96516013579969 32.98073536938481,43.96161778010989 33.7020169855284,44.82456221989017 33.7020169855284,44.82101986420037 32.98073536938481,43.96516013579969 32.98073536938481))",3,Area Mapping Mode,1.0,0,1,1,POINT(44.396928 33.345276),"POLYGON((44.240547 32.901772,43.863979 33.221367,44.554909 33.788582,44.931381 33.466904,44.240547 32.901772))",90.0,50.0,POINT(44.396927 33.338984),"POLYGON((43.862534 33.46067,44.239029 33.782307,44.929817 33.215015,44.553226 32.895466,43.862534 33.46067))",90.0,50.0,44.39309,33.34213,Baghdad,Iraq,5054000,,,IRQ,6073.610323,30.69602657,594.0170307343382,False
fossil0110,fossil_Sacramento_USA,171,,,POINT(-121.49085 38.57944000000003),"POLYGON((-121.9476210870275 38.218204107853,-121.9522081183987 38.93885323533197,-121.0294918816013 38.93885323533197,-121.0340789129725 38.218204107853,-121.9476210870275 38.218204107853))",4,Area Mapping Mode,1.0,0,1,1,POINT(-121.486423 38.582303),"POLYGON((-121.700462 38.15139,-122.067307 38.496231,-121.269798 39.012821,-120.904167 38.665497,-121.700462 38.15139))",90.0,50.0,POINT(-121.486423 38.576577),"POLYGON((-122.068626 38.659794,-121.703003 39.007103,-120.905594 38.490482,-121.272423 38.145657,-122.068626 38.659794))",90.0,50.0,-121.49085,38.57944,Sacramento,United States of America,1604000,,,USA,84534.04078,135.5926014,160.08795652575793,False
fossil0111,fossil_Bogota_Colombia,172,,,POINT(-74.06940999999995 4.614960000000053),"POLYGON((-74.42972177036602 4.253149579496219,-74.43008674702715 4.976583622398371,-73.70873325297279 4.976583622398371,-73.70909822963392 4.253149579496219,-74.42972177036602 4.253149579496219))",7,Area Mapping Mode,1.0,0,1,1,POINT(-74.066807 4.618626),"POLYGON((-74.11718 4.158925,-74.484901 4.418301,-74.016373 5.078323,-73.648476 4.818706,-74.11718 4.158925))",90.0,50.0,POINT(-74.066807 4.611294),"POLYGON((-74.48513 4.811377,-74.117241 5.070992,-73.64872 4.410966,-74.016441 4.151593,-74.48513 4.811377))",90.0,50.0,-74.06941,4.61496,Bogota,Colombia,7772000,,,COL,7919.208868,61.54809132,350.9996161751443,False
fossil0112,fossil_Taegu_South_Korea,173,,,POINT(128.5911100000001 35.87028000000004),"POLYGON((128.1501880825395 35.50896210690301,128.1461756306846 36.22994321061527,129.0360443693155 36.22994321061527,129.0320319174607 35.50896210690301,128.1501880825395 35.50896210690301))",3,Area Mapping Mode,1.0,0,1,1,POINT(128.595208 35.873304),"POLYGON((128.41394 35.434948,128.040497 35.765911,128.778488 36.311382,129.151413 35.978138,128.41394 35.434948))",90.0,50.0,POINT(128.595208 35.867256),"POLYGON((128.039062 35.972111,128.411972 36.30534,129.149872 35.759846,128.776428 35.428894,128.039062 35.972111))",90.0,50.0,128.59111,35.87028,Daegu,South Korea,2460000,,,KOR,36238.63991,89.14705418,97.47067208222977,False
fossil0113,fossil_Urumqi_China,174,,,POINT(87.58627000000007 43.78787000000005),"POLYGON((87.09228347514562 43.42678192697451,87.08631819069353 44.14677443358769,88.08622180930661 44.14677443358769,88.08025652485452 43.42678192697451,87.09228347514562 43.42678192697451))",4,Area Mapping Mode,1.0,0,1,1,POINT(87.591516 43.790286),"POLYGON((87.288788 43.383144,86.952408 43.760433,87.898399 44.196617,88.231224 43.816574,87.288788 43.383144))",90.0,50.0,POINT(87.591515 43.785454),"POLYGON((86.951859 43.811771,87.284698 44.191799,88.230568 43.755569,87.894188 43.3783,86.951859 43.811771))",90.0,50.0,87.58627,43.78787,Urumqi,China,3575000,,,CHN,13303.14815,47.55875464,2842.7207254145064,False
fossil0114,fossil_Vienna_Austria,175,,,POINT(16.36842000000007 48.20263000000006),"POLYGON((15.83403818281636 47.84164423095834,15.82650250466847 48.5610742059281,16.91033749533167 48.5610742059281,16.90280181718379 47.84164423095834,15.83403818281636 47.84164423095834))",8,Area Mapping Mode,1.0,0,1,1,POINT(16.374628 48.204378),"POLYGON((15.950138 47.839359,15.684111 48.251801,16.805199 48.567814,17.063812 48.152828,15.950138 47.839359))",90.0,50.0,POINT(16.374627 48.200881),"POLYGON((15.685483 48.149372,15.944138 48.564342,17.065104 48.248264,16.799038 47.835835,15.685483 48.149372))",90.0,50.0,16.36842,48.20263,Vienna,Austria,2400000,,,AUT,58268.87877,139.845309,504.3047264546233,False
fossil0115,fossil_Manila_Philippines,176,,,POINT(120.98454 14.58864000000005),"POLYGON((120.6139195967158 14.22682972712524,120.6127080001771 14.94984911650832,121.356371999823 14.94984911650832,121.3551604032842 14.22682972712524,120.6139195967158 14.22682972712524))",12,Area Mapping Mode,1.0,0,1,1,POINT(120.987321 14.592236),"POLYGON((120.923012 14.134016,120.551636 14.40271,121.051903 15.050439,121.423759 14.780953,120.923012 14.134016))",90.0,50.0,POINT(120.987321 14.585044),"POLYGON((120.550896 14.773747,120.922729 15.043244,121.422997 14.395532,121.051643 14.126825,120.550896 14.773747))",90.0,50.0,120.98454,14.58864,Manila,Philippines,11100000,,,PHL,3984.831539,44.23163008,5.171280091206708,True
fossil0116,fossil_Columbus_USA,177,,,POINT(-83.00274999999993 39.96199000000007),"POLYGON((-83.46846919615577 39.60079509450302,-83.47338301928832 40.32127174978103,-82.53211698071155 40.32127174978103,-82.5370308038441 39.60079509450302,-83.46846919615577 39.60079509450302))",7,Area Mapping Mode,1.0,0,1,1,POINT(-82.998132 39.964755),"POLYGON((-83.231857 39.538658,-83.593506 39.891293,-82.761475 40.390373,-82.401505 40.035164,-83.231857 39.538658))",90.0,50.0,POINT(-82.998133 39.959224),"POLYGON((-83.594711 40.029659,-83.234741 40.384853,-82.402809 39.885738,-82.76445 39.533119,-83.594711 40.029659))",90.0,50.0,-83.00275,39.96199,Columbus,United States of America,1270000,,,USA,84534.04078,107.3582318,716.9471251170709,False
